"","id","created_time","snippet","headline"
"1",1,"2025-10-14T09:01:19Z","With federal subsidies ending or becoming hard to claim, companies are racing ahead with solar, wind and battery projects.","Renewable Energy Is Booming Despite Trump’s Efforts to Slow It"
"2",2,"2025-10-16T04:00:08Z","Orsted, a Danish wind farm developer, has been hammered by high costs and President Trump’s efforts to stymie renewable energy. Its struggles are rippling across Denmark.","Prospects Dim for Denmark’s Renewable Energy Star"
"3",3,"2025-11-20T22:38:55Z","The reorganization reflects the ongoing shift in the federal government’s energy priorities: less renewable energy, more fossil fuels.","A Trump Overhaul of the Energy Dept. Breaks Up Clean Energy Offices"
"4",4,"2025-07-10T19:28:55Z","Days after the passage of a sprawling domestic policy bill, the Trump administration announced moves that could further hamstring renewable energy.","Trump May Not Be Done Overhauling Renewable Energy"
"5",5,"2026-03-20T04:01:16Z","Pedro Sánchez, Spain’s prime minister, said the nation’s renewable energy system has softened the financial fallout from the war in Iran. The story is more complex.","Spain Says the Sun Shields It From Rising Gas Costs. Is That True?"
"6",6,"2025-04-29T17:14:00Z","The Iberian Peninsula’s widespread blackout raises questions about the resilience of the electric power infrastructure in the two countries — and to an extent, the rest of Europe.","How Spain’s Success in Renewable Energy May Have Left It Vulnerable"
"7",7,"2026-03-26T09:00:36Z","Renewable energy leaders said their industry got “rolled” in President Trump’s tax bill. Now they’re fighting back, starting in Texas.","Wealthy Investors Are Targeting Foes of Clean Energy, and They Want Revenge"
"8",8,"2025-08-07T09:02:14Z","Federal agencies have recently issued a barrage of restrictions that could halt construction of solar and wind farms on public and private lands.","Suddenly, the Trump Administration Tightens the Vise on Wind Farms"
"9",9,"2026-03-27T09:02:20Z","When the world map of literal power changes, the political hierarchy shifts, too.","The Iran War Is Revealing the Messy Middle of Our Renewable Energy Transition"
"10",10,"2025-05-14T09:01:51Z","Despite soaring power demand, Republican lawmakers in the Texas Legislature are pushing to rein in renewable energy, part of a national wave of Trump-era opposition.","Renewable Energy Is Booming in Texas. Republicans Want to Change That."
"11",1,"2025-10-07T18:50:53Z","The world generated more electricity from renewable energy than coal for the first time ever, a new report finds. The United States is lagging behind.","Early Signs of a ‘Turning Point’ as Renewables Edge Out Coal"
"12",2,"2026-03-04T21:22:20Z","The battle to lower costs has reached the State Capitol, where concerns have emerged about the fate of a 2019 climate law and its ambitious goals to reduce greenhouse gas emissions.","As New York Energy Costs Surge, Attention Turns to Landmark Climate Law"
"13",3,"2025-04-02T18:23:39Z","The components used to assemble wind turbines are made by suppliers around the globe.","Tariffs Are Likely to Hit U.S. Renewable Energy"
"14",4,"2026-02-28T05:00:10Z","Developers are using a new geothermal technology in Germany to produce clean energy.","To Extract Hot Water From the Earth, a Plan to Pipe It In First"
"15",5,"2026-01-12T10:02:03Z","The president’s embrace of fossil fuels and withdrawal from the global fight against climate change will make it hard to keep warming at safe levels, scientists said.","Under Trump, U.S. Adds Fuel to a Heating Planet"
"16",6,"2025-07-01T17:23:29Z","","The final Senate version of the tax and policy bill changed some provisions on renewable energy."
"17",7,"2025-09-09T00:00:08Z","Its vast investment in solar, wind and batteries is on track to end an era of global growth in the use of coal, oil and gas, the researchers said.","‘China Is the Engine’ Driving Nations Away From Fossil Fuels, Report Says"
"18",8,"2025-09-18T07:58:24Z","While renewable energy is broadly popular in both countries, the policies of the Trump and Starmer governments could not be more different.","America and Britain Are Worlds Apart on Energy Policies, Except Nuclear"
"19",9,"2026-01-26T23:12:43Z","A warmer atmosphere has the potential to hold more moisture, which can contribute to heavier precipitation in any season, scientists say.","How Does Climate Change Affect Winter Storms?"
"20",10,"2026-03-10T04:01:05Z","More solar energy was added to U.S. grids than any other technology, but the amount installed fell by 14 percent, according to a new report.","U.S. Solar Installations Fell in 2025 as Trump Attacked Clean Energy"
"21",1,"2026-03-28T09:01:00Z","Offshore wind is out. Geothermal power is in. And many climate technology start-ups are looking for ways to carry on without federal backing.","How Clean Energy Firms Are Trying to Survive the Trump Era"
"22",2,"2025-04-11T18:07:15Z","Ann Arbor, Mich., moved forward with an ambitious plan to build its own utility that aims to provide clean power outside the grid.","Ann Arbor Wants to Build Its Own Renewable-Energy Grid"
